PLACE,LATITUDE,LONGITUDE,URL
Razzmatazz,41.39775790901272, 2.1911786054718276,https://www.salarazzmatazz.com/
Macarena Club Barcelona,41.37963733439489, 2.1775060699960775,https://macarenaclub.com/
Moog,41.378091555884446, 2.175065497521412,https://moogbarcelona.com/
La Terrrazza Barcelona,41.3688074485502, 2.14940998716715,https://laterrrazza.com/
LAUT,41.37382812688644, 2.169793713500813,https://laut.es/
Apolo theatre,41.374735788594165, 2.1704632953248795,https://teatreapolo.com/
Jamboree,41.379693844377954, 2.1752645643821396,https://jamboreejazz.com/
Parc del Fòrum, 41.41152795822407, 2.225037912617263, https://parcdelforum.barcelona/
Les Enfants Brillants Barcelona,41.37803839563915, 2.1737884969753236,https://es.ra.co/clubs/195409
Slow Barcelona,41.393569642542005, 2.153731671773661,https://www.slowbarcelona.es/forest/
Disco City Hall,41.3877545539986, 2.168395030189824,https://www.cityhallbarcelona.com/
45/33 Bar,41.380626917550025, 2.167240824586931,https://3345.es/eventos/
M7 Club Barcelona,41.37316822772005, 2.1481855359916175,https://www.m7club.es/
Switch,41.399170561843995, 2.159208010980504,https://www.instagram.com/switchpocketclub_bcn
S Bar, 41.378651208842946, 2.168912002137505,https://www.instagram.com/s_barjamaican/
Garage 442, 41.39713321300729, 2.160843900104209, https://garage442.com/
INPUT - High Fidelity Dance Club, 41.368712278283084, 2.1489376548399246, https://inputbcn.com/
La Paloma Sala de Ball,41.3824748317686, 2.16469031609069, https://lapaloma.com/
Sala Bikini Barcelona,41.38996628708751, 2.136907880764712, https://bikinibcn.com/
Harlem Jazz Club, 41.38114092884892, 2.1785263254021943, https://www.harlemjazzclub.es/
Diobar, 41.38551434555165, 2.1854887166710752, https://diobarbcn.com/
GUZZO, 41.38511382859142, 2.1837129367361436, https://guzzobcn.es/ 
